1 31 48 56 53 39 11 0 43 64 27 0 4 46 57 13 63 64 8 0 0 32 64 33 44 64 25 8 16 54 64 64 7 38 56 56 54 50 64 48 0 11 3 0 0 50 63 17 14 64 39 0 29 64 35 0 3 37 64 64 57 27 0 0 9 4 2 0 0 3 8 21 33 3 0 0 0 4 12 27 12 2 0 2 10 41 6 10 17 6 5 0 0 5 12 20 1 5 5 1 1 5 2 0 3 0 4 0 2 2 3 2 0 0 0 0 0 0 0 3 2 0 4 5 5 2 0 0 1 5 5 5 5 2 0 3 0 4 1 0 0 2 0 2 1 0 3 2 5 0 3 0 1 5 2 0 3 5 0 0 0 3 0 0 0 1 2 0 5 0 4 0 1 3 2 3 3 0 5 0 0 5 0 5 5 0 4 0 2 2 0 2 2 2 0 0 1 1 0 3 0 1 1 0 1 4 1 4 4 0 5 0 4 0 5 0 1 0 5 3 2 0 5 6 1 0 3 4 3 0 5 1 0 5669249 9
1 31 48 56 53 39 17 0 43 64 27 0 4 46 61 13 63 64 8 0 0 32 64 33 44 64 25 8 16 54 64 64 7 38 56 56 54 50 64 48 0 11 3 0 0 50 63 17 14 64 39 0 29 64 35 0 3 37 64 64 57 27 0 0 9 4 2 0 0 3 6 21 33 3 0 0 0 4 12 27 12 2 0 2 10 41 6 10 17 6 5 0 0 5 12 20 1 5 5 1 1 5 4 0 3 0 4 0 2 2 0 2 0 0 0 0 0 0 0 3 2 0 4 5 5 2 0 0 1 5 5 5 5 2 0 3 0 4 1 0 0 2 0 2 1 0 3 2 5 0 3 0 1 5 2 0 3 5 0 0 0 3 0 0 0 1 2 0 5 0 4 0 1 3 2 3 3 0 5 0 0 5 0 5 5 0 4 0 2 2 0 2 2 2 0 0 1 1 0 3 0 1 1 0 1 4 1 4 4 0 5 0 4 0 5 0 1 0 5 3 2 1 5 6 1 0 3 4 4 0 5 1 1 5669249 9
4 26 48 57 59 48 22 0 48 60 23 0 8 50 64 42 64 64 27 0 0 24 64 64 31 37 5 0 1 51 64 52 0 0 0 0 36 64 42 5 0 0 5 46 60 24 0 0 0 20 59 46 6 0 6 19 19 64 32 1 0 0 39 64 8 5 2 0 0 2 5 11 0 0 4 10 15 21 0 0 15 3 0 3 36 25 14 6 14 2 0 0 10 22 33 0 2 5 5 1 2 5 5 0 2 0 5 2 3 3 0 4 0 0 2 0 0 0 0 0 5 5 2 0 1 3 0 3 0 0 0 0 3 0 4 1 0 0 3 5 2 5 0 0 0 5 2 4 3 0 1 5 1 2 5 0 0 0 1 2 1 2 0 1 0 0 3 0 4 2 1 0 2 3 0 4 2 0 4 0 0 5 0 2 3 1 2 0 0 4 0 3 0 0 0 0 5 0 3 2 0 0 1 3 1 3 0 0 0 3 2 3 2 0 2 1 4 3 4 3 3 0 4 3 1 4 3 3 5 0 1 1 2 5210497 2
0 0 0 0 39 64 19 0 0 0 0 28 64 64 24 0 0 0 33 57 46 64 24 0 1 33 56 14 32 64 24 0 32 60 20 8 37 64 31 5 46 48 48 48 57 64 55 51 0 0 0 1 41 64 25 0 0 0 19 64 64 64 64 47 36 28 21 13 3 0 38 39 18 18 18 0 0 0 0 0 34 29 21 13 4 0 36 21 13 13 13 13 13 0 13 1 0 0 0 0 5 2 1 0 0 0 0 4 0 0 0 0 0 0 4 1 2 0 0 0 1 4 1 3 0 0 0 0 3 0 2 5 2 0 3 4 4 5 5 5 2 0 3 4 0 0 0 3 2 0 2 0 0 0 0 0 2 2 1 1 0 0 0 1 3 0 4 0 0 0 0 4 0 0 5 0 0 0 4 2 2 0 5 0 0 4 2 3 5 0 5 0 5 2 2 0 4 0 4 0 2 0 0 0 1 0 1 1 0 0 0 0 4 0 5 0 0 4 0 0 1 2 0 4 0 1 0 1 4 0 0 3 3 5341569 4
1 28 48 47 56 48 33 2 36 64 23 2 1 16 64 55 31 64 44 6 0 9 64 64 2 41 64 64 53 59 47 9 22 60 39 19 36 62 62 17 47 51 2 0 0 11 60 64 42 59 23 0 0 20 63 64 3 33 54 64 64 63 36 9 9 4 2 2 0 2 4 9 8 3 1 0 0 0 3 7 13 3 3 11 5 3 3 11 12 0 0 10 6 0 0 10 1 5 5 1 1 5 5 1 2 0 4 1 1 4 0 3 2 0 4 3 0 1 0 0 0 2 0 1 4 3 1 4 3 2 4 5 5 1 1 3 1 1 1 0 0 3 1 1 2 1 5 2 2 4 1 0 2 5 3 0 0 2 5 4 0 3 0 0 0 0 3 1 5 0 4 0 0 4 0 3 5 0 3 1 0 5 0 2 1 4 0 0 1 1 3 1 4 1 4 1 1 1 1 4 4 4 0 0 0 4 1 2 5 2 3 0 0 4 0 2 1 1 5 3 3 1 5 1 2 5 3 3 5 1 4 3 4 5603713 8
48 64 64 64 64 64 64 36 57 51 15 8 15 60 49 2 24 8 0 3 51 57 8 0 0 0 0 39 64 20 0 0 0 0 20 64 49 0 0 0 0 0 48 64 24 0 0 0 0 13 64 64 24 0 0 0 0 8 54 63 13 0 0 0 0 0 0 0 0 0 0 2 45 50 1 0 25 40 50 59 2 0 34 26 22 18 14 15 0 9 17 21 25 29 29 30 2 2 2 2 2 2 2 0 1 3 5 5 3 0 3 1 5 2 0 1 3 2 2 0 0 0 0 3 0 2 0 0 0 0 2 0 2 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 4 2 1 0 0 0 5 0 0 0 0 0 0 4 4 2 2 0 2 2 4 1 1 2 0 1 3 3 2 0 0 0 0 4 0 4 0 0 0 0 5 0 5 0 0 0 0 0 5 0 5 0 0 0 0 4 0 0 5 0 0 0 0 2 1 1 1 1 3 3 1 0 1 1 1 1 2 4 5 5538177 7
0 10 43 47 56 48 28 0 25 62 35 2 6 48 36 0 56 52 15 27 37 24 6 0 64 64 57 40 43 63 56 6 64 53 3 0 0 36 64 50 64 53 4 0 0 17 64 64 49 64 29 0 3 50 61 21 3 33 54 64 64 51 20 0 12 7 2 2 0 2 4 34 8 3 1 0 0 1 5 14 17 4 0 0 0 0 2 11 12 10 25 9 0 0 6 14 0 3 5 1 1 5 4 0 3 1 4 1 1 5 4 0 1 0 3 5 5 5 3 0 0 0 2 5 5 1 2 1 0 1 2 0 0 3 0 3 0 1 1 0 0 2 0 0 3 0 3 2 3 2 1 5 2 5 3 0 0 4 4 0 0 2 1 0 0 0 4 0 4 0 4 0 4 0 4 0 3 4 1 1 1 0 2 0 2 0 1 0 1 0 3 2 2 4 1 0 0 5 0 3 2 4 1 0 0 5 0 2 4 0 5 0 1 3 1 3 1 1 4 4 3 0 5 3 2 4 2 3 5 1 4 3 6 5472641 6
0 10 43 51 56 48 28 0 26 62 35 6 6 48 44 4 63 52 15 35 37 24 6 0 64 64 57 40 43 63 56 6 64 53 3 0 0 36 64 50 64 53 4 0 0 17 64 64 49 64 29 0 3 50 61 21 3 33 54 64 64 51 20 0 12 7 2 2 0 2 4 34 8 3 1 0 0 1 5 14 17 4 0 0 0 0 2 11 12 8 25 9 0 0 6 14 0 3 5 4 1 5 4 0 4 1 4 4 1 5 4 0 0 0 3 5 5 5 3 0 0 0 2 5 5 1 2 1 0 1 2 0 0 3 0 3 0 1 1 0 0 2 0 0 3 0 3 2 3 2 1 5 2 5 3 0 0 4 4 0 0 2 1 0 0 0 4 0 4 0 4 0 4 0 2 2 3 4 1 1 1 0 2 0 2 0 1 0 1 0 3 2 2 4 1 0 0 5 0 3 2 4 1 0 0 5 0 2 4 0 5 0 1 3 1 3 1 1 4 4 3 0 5 3 2 4 2 3 5 1 4 3 7 5472641 6
1 28 48 55 52 33 2 0 28 64 35 2 11 59 49 4 63 55 6 0 0 40 64 17 64 48 0 0 0 40 64 60 64 48 0 0 0 40 64 64 64 53 4 0 0 41 64 27 33 64 38 0 20 63 54 6 0 16 54 64 63 36 5 0 12 4 2 0 1 4 9 24 11 6 1 0 0 3 8 22 13 4 0 0 0 0 3 15 20 10 6 0 0 6 9 18 0 5 5 0 3 5 1 0 3 0 4 1 3 2 3 1 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 3 4 0 3 2 4 1 2 1 0 4 3 0 2 5 2 0 0 3 0 0 0 3 1 0 5 0 4 0 4 1 4 1 3 3 2 0 0 5 0 5 2 5 0 0 0 5 0 3 2 5 0 0 0 5 0 2 2 4 1 0 0 5 0 4 4 0 5 0 4 0 3 2 0 1 5 3 1 0 6 6 1 2 3 5 1 3 5 3 8 5079425 0
2 32 48 56 47 39 11 0 43 64 28 0 4 46 57 13 53 64 8 0 0 32 64 25 44 64 26 8 16 56 64 61 3 35 56 56 55 50 64 37 0 4 3 0 0 40 63 17 14 64 39 0 29 64 35 0 4 38 64 64 57 27 0 0 9 4 2 0 2 3 8 23 33 3 0 0 0 4 12 30 12 2 0 2 11 44 6 10 17 6 5 0 5 5 12 20 1 5 5 1 2 5 2 0 2 0 4 0 2 2 3 2 0 0 0 0 0 0 0 1 2 0 4 5 5 2 0 2 1 5 5 5 5 2 0 3 0 3 1 0 0 2 0 2 1 1 3 2 5 0 3 0 1 5 2 0 3 5 0 0 1 3 0 0 0 1 2 0 5 0 4 0 1 3 2 3 4 0 5 0 0 5 0 5 5 0 4 0 2 2 0 3 1 3 0 0 1 1 0 4 0 1 1 0 0 5 1 4 4 0 5 0 4 0 5 0 1 0 5 3 2 0 5 6 1 0 3 4 3 0 5 1 9 5669249 9
