7 8 35 36 21 11 42 64 16 24 64 64 64 33 0 64 16 24 64 64 37 0 64 16 19 56 41 6 24 64 16 45 53 64 64 16 64 64 64 64 64 10 12 64 64 64 3 2 0 1 0 7176577 P
0 42 63 64 36 0 31 40 0 64 64 64 56 0 48 40 0 64 64 56 0 48 40 0 47 48 35 0 48 40 0 56 0 48 40 0 64 48 40 64 64 0 38 36 0 23 0 0 0 0 1 6652289 H
35 23 45 42 22 42 64 30 11 63 64 64 59 4 46 3 31 64 64 64 23 8 0 32 64 64 64 32 1 14 22 64 13 20 54 9 64 55 64 20 12 64 64 20 39 48 2 0 1 0 2 7242113 Q
43 13 41 41 13 40 64 46 1 54 64 64 57 0 40 13 13 64 64 64 16 4 1 16 64 64 64 18 0 0 9 64 24 0 18 8 64 4 46 64 64 39 14 14 38 64 3 4 0 0 3 5079425 0
0 29 63 64 53 7 35 64 12 31 64 64 59 11 64 64 40 7 64 38 35 64 64 62 5 45 17 58 64 64 64 25 64 64 64 64 1 64 64 17 12 64 64 64 64 64 0 0 2 1 4 7569793 V
14 27 64 64 53 8 25 64 16 0 39 64 64 25 56 64 23 44 51 64 32 56 64 24 64 36 58 32 56 64 24 64 35 56 64 17 64 56 64 64 64 6 35 64 46 58 0 0 0 0 5 7045505 N
10 8 34 36 20 29 60 64 24 18 64 64 62 7 24 64 24 16 64 64 11 18 64 24 13 40 21 23 52 64 27 62 12 37 64 32 64 0 64 64 64 11 15 18 13 40 0 3 0 4 6 6259073 B
0 23 32 32 24 0 30 48 23 64 64 59 10 18 63 63 62 64 21 10 60 64 64 64 64 33 54 64 64 64 64 0 64 64 64 54 31 64 60 64 64 0 29 32 16 17 4 4 3 0 7 7831937 Z
9 64 64 64 54 0 41 40 0 52 64 64 31 0 63 46 23 26 64 23 8 56 48 47 7 61 42 8 56 48 53 41 8 56 48 49 14 56 48 11 51 25 64 53 3 35 0 0 0 0 8 6979969 M
47 17 31 30 19 43 64 50 1 52 64 64 56 5 39 11 19 64 64 64 31 2 0 24 64 64 64 40 0 0 24 64 40 0 8 19 64 0 40 64 64 38 12 12 28 63 4 3 0 0 9 7111041 O
0 28 30 19 34 64 64 64 0 56 64 45 0 52 64 64 0 56 48 0 51 64 64 0 47 55 30 64 64 64 0 31 64 64 64 0 64 64 64 64 56 0 35 32 3 33 0 0 0 0 10 7307649 R
29 17 24 24 23 22 24 12 18 64 64 64 64 19 23 13 6 48 64 64 58 42 60 33 9 6 48 64 64 64 64 48 10 39 38 64 64 0 1 64 64 20 19 14 22 51 5 5 1 0 11 7373185 S
