21 15 44 21 25 59 19 12 64 10 26 0 37 64 64 64 35 0 0 56 64 64 64 64 40 0 0 51 64 64 64 64 0 0 32 64 34 5 34 64 38 64 9 0 11 1 0 0 5 0 0 5079425 0
2 16 16 16 9 5 15 61 64 17 49 64 64 64 61 14 45 64 64 64 64 63 23 38 64 64 64 64 64 32 12 63 64 64 64 3 64 64 64 64 64 64 0 0 0 2 0 0 0 1 1 5538177 7
26 25 38 26 11 34 25 11 64 29 0 32 16 64 64 64 31 0 64 64 64 64 64 47 5 36 64 64 64 64 36 20 64 64 64 23 63 30 37 12 17 1 0 0 0 1 1 0 0 1 2 5210497 2
20 32 40 28 19 44 2 41 64 37 2 11 11 64 64 64 38 12 60 33 0 11 24 18 34 62 38 17 53 62 40 16 44 2 57 64 3 56 0 44 23 48 0 9 0 2 5 5 1 3 3 5603713 8
49 26 34 19 27 64 37 15 64 20 64 3 45 64 60 64 64 64 0 44 33 34 30 16 30 60 0 33 64 64 64 62 23 0 54 64 9 26 20 57 19 56 11 13 0 5 0 2 4 0 4 5472641 6
64 64 64 1 41 64 64 64 41 52 64 64 64 34 40 0 56 64 64 30 35 64 40 0 52 64 29 41 64 64 46 0 64 19 39 45 64 64 64 64 24 40 0 0 0 1 4 0 4 3 5 5341569 4
21 30 47 20 38 64 0 51 64 9 35 0 62 64 64 64 24 12 1 40 64 64 64 58 9 0 45 16 24 34 33 36 13 64 64 64 48 34 60 41 60 64 0 0 15 1 0 1 0 2 6 5669249 9
31 15 3 64 64 64 64 64 0 64 64 64 64 0 24 64 64 64 64 64 24 0 24 64 64 64 64 64 24 0 16 64 64 64 64 0 64 64 64 48 48 48 0 0 0 0 0 0 0 1 7 5144961 1
18 34 40 18 24 59 17 4 64 6 15 58 56 64 64 58 4 32 64 64 64 39 21 6 42 64 64 64 64 64 64 52 24 58 51 64 2 4 0 52 21 52 0 16 0 0 0 5 0 1 8 5276033 3
20 24 24 24 24 31 24 56 64 64 64 29 60 48 48 49 61 64 15 16 37 49 46 27 4 42 59 63 64 64 64 64 1 36 52 64 0 37 12 37 24 57 0 12 0 0 5 0 0 3 9 5407105 5
